Title,Author,Language Level,ID,
Ira Sleeps Over,Bernard Waber,level_A1,110,
The Hat,Jan Brett,level_A1,111,
May I Bring A Friend?,Beatrice Schenk de Regniers,level_A2,112,
Nate the Great and the Snowy Trail,Marjorie Weinman Sharmat,level_A2,113,
The Fire Cat,Esther Averill,level_A2,114,
Cork & Fuzz: Short and Tall,Dori Chaconas,level_A2,115,
Days With Frog and Toad,Arnold Lobel,level_A2,116,
"Purple, Green and Yellow",Robert Munsch,level_A2,117,
Freckle Juice,Judy Blume,level_A2,118,
Wilfrid Gordon McDonald,"Partridge, Mem Fox",level_A2,119,
Martha Speaks,Susan Meddaugh,level_A2,120,
The Story About Ping,Marjorie Flack and Kurt Wiese,level_A2,121,
Blueberries for Sal,Robert McCloskey,level_A2,122,
The Story of Ferdinand,Munro Leaf,level_A2,123,
Why Mosquitoes Buzz in People's Ears,Verna Aardema,level_A2,124,
The Magic School Bus: Inside the Earth,Joanna Cole and Bruce Degen,level_A2,125,
Cloudy With a Chance of Meatballs,Judi Barrett,level_A2,126,
Curious George Takes a Job,H.A. Rey,level_B1,127,
A Chair for My Mother,Vera B. Williams ,level_B1,128,
Where the Wild Things Are,Maurice Sendak,level_B1,129,
Arthur's Pen Pal,Lillian Hoban,level_B1,130,
The Golly Sisters Go West,Betsy Byars,level_B1,131,
The Gardener,Sarah Stewart,level_B1,132,
"Oh, the Places You‚Äôll Go!",Dr. Seuss,level_B1,133,
Lon Po Po,Ed Young,level_B1,134,
There's a Nightmare in My Closet,Mercer Mayer,level_B1,135,
One of Each,Mary Ann Hoberman,level_B1,136,
Curduroy,Don Freeman,level_B1,137,
Nana Upstairs & Nana Downstairs,Tomie dePaola,level_B1,138,
Doctor De Soto,William Steig,level_B1,139,
The Mitten,Alvin Tresselt,level_B1,140,
The Boy Who Didn't Believe in Spring,Lucille Clifton,level_B1,141,
The One in the Middle Is the Green Kangaroo,Judy Blume,level_B2,142,
The Josefina Story Quilt,Eleanor Coerr,level_B2,143,
The Cable Car and the,"Dragon, Herb Caen",level_B2,144,
The Little House,Virginia Lee Burton,level_B2,145,
The Biggest Bear,Lynd Ward,level_B2,146,
Aliens for Breakfast,"Jonathan Etra and, Stephanie Spinner",level_B2,147,
Paul Bunyan,Steven Kellogg,level_B2,148,
The Drinking Gourd,F.N. Monjo,level_B2,149,
The New Kid on the Block,Jack Prelutsky,level_B2,150,
Fantastic Mr. Fox,Roald Dahl,level_B2,151,
Fables,Arnold Lobel,level_B2,152,
Snowed In with Grandmother Silk,Carol Fenner,level_B2,153,
Amos & Boris,William Steig,level_B2,154,
The Littles,John Peterson,level_B2,155,
Flat Stanley: His Original Adventure,Jeff Brown,level_B2,156,
Owl Moon,Jane Yolen,level_C1,157,
"The Day Gogo Went to Vote: South Africa, April 1994",Eleanor Batezat Sisulu,level_C1,158,
Amazing Grace,Mary Hoffman,level_C1,159,
The Snow Walker,"Margaret K. and Charles M., Wetterer",level_C1,160,
The Hundred Dresses,Eleanor Estes,level_C1,161,
My Father's Dragon,Ruth Stiles Gannett,level_C1,162,
The Shrinking of Treehorn,Florence Parry Heide,level_C1,163,
Action Jackson,"Jan Greenberg and, Sandra Jordan",level_C1,164,
"Star of Fear, Star of Hope",Jo Hoestlandt,level_C1,165,
The Rough-Face Girl,Rafe Martin,level_C1,166,
Judy Moody Gets Famous,Megan McDonald,level_C1,167,
A New Coat for Anna,Harriet Ziefert,level_C1,168,
Bunnicula,Deborah and James Howe,level_C1,169,
Knights in Shining Armor,Gail Gibbons,level_C1,170,
The Orchestra,Mark Rubin,level_C1,171,
Liang and the Magic Paintbrush,Demi,level_C2,172,
My Diary from Here to There ,Amada Irma Perez ,level_C2,173,
When Jessie Came Across the Sea,Amy Hest ,level_C2,174,
Maple Moon,Connie Brummel Crook & Scott Cameron ,level_C2,175,
Kate Shelley and the Midnight Express ,Margaret K.Wetterer ,level_C2,176,
Charlotte's Web,E.B. White ,level_C2,177,
Frindle,Andrew Clements ,level_C2,178,
Joyful Noise: Poems for Two Voices,Paul Fleischman ,level_C2,179,
McBroom's Wonderful One-Acre Farm,Sid Fleischman ,level_C2,180,
Cinderella,Charles Perrault ,level_C2,181,
Mr. Popper's Penguins ,Richard and Florence Atwater ,level_C2,182,
One Day in the Prairie ,Jean Craighead George ,level_C2,183,
The Chalk Box Kid ,Clyde Robert Bulla ,level_C2,184,
Stone Fox ,John Reynolds Gardiner ,level_C2,185,
Old Mother West Wind ,Thornton W. Burgess ,level_C2,186,
Jacob Have I Loved,Katherine Paterson,level_H,187,
The Secret Garden,Frances Hodgson Burnett,level_H,188,
The Hobbit,J.R.R. Tolkien,level_H,189,
Kidnapped,Robert Louis Stevenson,level_H,190,
The Old Man and the Sea,Ernest Hemingway,level_H,191,
King of the Wind,MargueriteHenry,level_H,192,
"Fever, 1793",Laurie Halse Anderson,level_H,193,
"Cry, the Beloved Country",Alan Paton,level_H,194,
The Extraordinary Adventures of Arsene Lupin,Maurice Leblanc,level_H,195,
The Story of My Life,Helen Keller,level_H,196,
So Much to Tell You,John Marsden,level_H,197,
Around the World in Eighty Days,Jules Verne,level_H,198,
Shipwreck at the Bottom of the World,Jennifer Armstrong,level_H,199,
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,level_H,200,
Daddy-Long-Legs,Jean Webster,level_H,201,
Fahrenheit 451,Ray Bradbury,level_I,202,
Code Talker,Joseph Bruchac,level_I,203,
The Time Machine,H.G. Wells,level_I,204,
The Color of Magic,Terry Pratchett,level_I,205,
Watership Down,Richard Adams,level_I,206,
Jane Eyre,Charlotte Brontë,level_I,207,
The Beekeeper's Apprentice,Laurie R. King,level_I,208,
The Hound of the Baskervilles,Sir Arthur Conan Doyle,level_I,209,
David Copperfield,Charles Dickens,level_I,210,
Frankenstein,Mary Shelley,level_I,211,
To Kill a Mockingbird,Harper Lee,level_I,212,
archy and mehitabel,Don Marquis,level_I,213,
"I, Juan de Pareja",Elizabeth Borton de Trevino,level_I,214,
Across Five Aprils,Irene Hunt,level_I,215,
Farewell to Manzanar,"Jeanne Wakatsuki Houston,& James D. Houston",level_I,216,
The Spy Who Came In from the Cold,John Le Carre,level_K,217,
Great Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,level_K,218,
Lyrical Ballads,William Wordsworth and Samuel Taylor Coleridge,level_K,219,
Hamlet,William Shakespeare,level_K,220,
Ethan Frome,Edith Wharton,level_K,221,
King Oedipus,Sophocles,level_K,222,
The Importance of Being Earnest and Other Plays,Oscar Wilde,level_K,223,
A Midsummer Night's Dream,William Shakespeare,level_K,224,
Night,Elie Wiesel,level_K,225,
Brave New World,Aldous Huxley,level_K,226,
101 Great American Poems,Various authors,level_L,227,
Songs of Innocence and Songs of Experience,William Blake,level_L,228,
The World's Greatest Short Stories,Various authors,level_L,229,
The Awakening and Selected Stories of Kate Chopin,Kate Chopin,level_L,230,
Lord of the Flies,William Golding,level_L,231,
The Waste Land and Other Poems,T.S. Eliot,level_L,232,
Macbeth,William Shakespeare,level_L,233,
Uncle Tom's Cabin,Harriet Beecher Stowe,level_L,234,
Death of a Salesman,Arthur Miller,level_L,235,
The French Lieutenant's Woman,John Fowles,level_L,236,
